,_id,created_at,id,text,truncated,geo,coordinates,place,lang,timestamp_ms,extended_tweet,extended_entities,possibly_sensitive,withheld_in_countries
23878,5d478e4e2f7dded2e4a62d5f,Mon Aug 05 02:02:49 +0000 2019,1158196628601430016,@OutsiderPandora @ladefalobi You are a fucking sick cyber bully. Why not put your energy into making sure you have… https://t.co/O9kkZF1fQl,True,,,,en,1564970569168,"{'full_text': '@OutsiderPandora @ladefalobi You are a fucking sick cyber bully. Why not put your energy into making sure you have correct information instead of typing shit. Trash. \nXd my ass.', 'display_text_range': [29, 177], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'OutsiderPandora', 'name': 'The Outsider', 'id': 1668953707, 'id_str': '1668953707', 'indices': [0, 16]}, {'screen_name': 'ladefalobi', 'name': 'QTπ', 'id': 3383233277, 'id_str': '3383233277', 'indices': [17, 28]}], 'symbols': []}}",,,
23879,5d478e4e2f7dded2e4a62d61,Mon Aug 05 02:02:49 +0000 2019,1158196629712887809,"@morningmika @RKJ65 So I guess Ivanka will begin by rejecting her father's heinous and cowardly acts of hate, terro… https://t.co/HoTu6Ijpms",True,,,,en,1564970569433,"{'full_text': '@morningmika @RKJ65 So I guess Ivanka will begin by rejecting her father\'s heinous and cowardly acts of hate, terror, and violence...starting with demonizing immigrants and Dems, bullying those who defy him, insulting allies, praising Neo-nazis and white nationalists as \'fine ppl"", urging ko\'s.....', 'display_text_range': [20, 299], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'morningmika', 'name': 'Mika Brzezinski', 'id': 18227519, 'id_str': '18227519', 'indices': [0, 12]}, {'screen_name': 'RKJ65', 'name': ""*you're"", 'id': 825062760954355713, 'id_str': '825062760954355713', 'indices': [13, 19]}], 'symbols': []}}",,,
23880,5d478e4f2f7dded2e4a62d64,Mon Aug 05 02:02:50 +0000 2019,1158196634674749443,When was this??? Not recently???,False,,,,en,1564970570616,,,,
23881,5d478e512f7dded2e4a62d68,Mon Aug 05 02:02:52 +0000 2019,1158196642417278976,the whole tl bullying joon for not being able to drive as if you wouldn't jump on the back of that bike in a heartbeat ✋,False,,,,en,1564970572462,,,,
23882,5d478e532f7dded2e4a62d6b,Mon Aug 05 02:02:54 +0000 2019,1158196650956840960,"@IAMChrisEdward Short temper, domestic abuse, animal abuse, child abuse, bullying, women haters and more. I’m sure… https://t.co/111OxfhHie",True,,,,en,1564970574498,"{'full_text': '@IAMChrisEdward Short temper, domestic abuse, animal abuse, child abuse, bullying, women haters and more. I’m sure a psychiatrist can list many more.', 'display_text_range': [16, 149], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'IAMChrisEdward', 'name': 'Chris Edward', 'id': 4028513232, 'id_str': '4028513232', 'indices': [0, 15]}], 'symbols': []}}",,,
23883,5d478e532f7dded2e4a62d6e,Mon Aug 05 02:02:54 +0000 2019,1158196652034994176,"Waters,  your a criminal politician.
Get out of office",False,,,,en,1564970574755,,,,
23884,5d478e542f7dded2e4a62d70,Mon Aug 05 02:02:54 +0000 2019,1158196652399685632,Why are you trashing on Bill? He’s donated well over 30 billion dollars to charity and initiatives to help the less… https://t.co/MWEByRsfU5,True,,,,en,1564970574842,"{'full_text': 'Why are you trashing on Bill? He’s donated well over 30 billion dollars to charity and initiatives to help the less fortunate. He also has a 50 billion dollar endowment fund. Out of all the billionaires to bully, why Bill?', 'display_text_range': [0, 222], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}}",,,
23885,5d478e542f7dded2e4a62d72,Mon Aug 05 02:02:55 +0000 2019,1158196655641858048,But a bully with no respect for life!,False,,,,en,1564970575615,,,,
23886,5d478e572f7dded2e4a62d78,Mon Aug 05 02:02:58 +0000 2019,1158196667276906498,@asongofroses Would probably release my Chaelisa frustrations by bullying them both,False,,,,en,1564970578389,,,,
23887,5d478e592f7dded2e4a62d7c,Mon Aug 05 02:03:00 +0000 2019,1158196674470322178,"@hwangsomnia @chamsve i thought she said no bullying, dani
my portuguese teacher is crying",False,,,,en,1564970580104,,,,
23888,5d478e592f7dded2e4a62d7f,Mon Aug 05 02:03:00 +0000 2019,1158196676210786304,They always avoid the issue it’s repulsive. I’m sorry but Idgaf about ending bullying or looking out for the loner… https://t.co/JYVAlf5E1p,True,,,,en,1564970580519,"{'full_text': 'They always avoid the issue it’s repulsive. I’m sorry but Idgaf about ending bullying or looking out for the loner I want my own fucking safety cared about that’s it.', 'display_text_range': [0, 166], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}}",,,
23889,5d478e5b2f7dded2e4a62d83,Mon Aug 05 02:03:02 +0000 2019,1158196683827757056,"@fubhornyonmain Can't I have bottom.
Hope you find a bully though.",False,,,,en,1564970582335,,,,
23890,5d478e5d2f7dded2e4a62d87,Mon Aug 05 02:03:04 +0000 2019,1158196693172727809,I remember all y’all who used to bully me when we was young,False,,,,en,1564970584563,,,,
23891,5d478e5e2f7dded2e4a62d8b,Mon Aug 05 02:03:05 +0000 2019,1158196696452612097,"@Alex_Chatman However, Trump's rhetoric certainly does not help.  It is validation and it needs to stop, of all the… https://t.co/Cvd1C0X4hH",True,,,"{'id': '488da0de4c92ac8e', 'url': 'https://api.twitter.com/1.1/geo/id/488da0de4c92ac8e.json', 'place_type': 'city', 'name': 'Plano', 'full_name': 'Plano, TX', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-96.85743, 32.997151], [-96.85743, 33.125334], [-96.612371, 33.125334], [-96.612371, 32.997151]]]}, 'attributes': {}}",en,1564970585345,"{'full_text': ""@Alex_Chatman However, Trump's rhetoric certainly does not help.  It is validation and it needs to stop, of all the pieces, that is an easy one.  He needs to speak as a POTUS not an idiot with a bully pulpit."", 'display_text_range': [14, 208], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Alex_Chatman', 'name': 'Alex', 'id': 35035252, 'id_str': '35035252', 'indices': [0, 13]}], 'symbols': []}}",,,
23892,5d478e602f7dded2e4a62d8f,Mon Aug 05 02:03:03 +0000 2019,1158196687694979072,Tom hiddleston didn’t get bullied by swifties solely for the fact that he came after Calvin Harris,False,,,,en,1564970583257,,,,
23893,5d478e612f7dded2e4a62d93,Mon Aug 05 02:03:07 +0000 2019,1158196706833575936,"Whens the last time you forgot about your TDS, and Did something productive for the homeless in your district, or C… https://t.co/3TPkVfVQUX",True,,,,en,1564970587820,"{'full_text': 'Whens the last time you forgot about your TDS, and Did something productive for the homeless in your district, or Chicago Daily Murders, or Baltimore, etc\nAny Democrats You can think of ? \nDidn’t Think so Mad Max\n\n@POTUS @RepMarkMeadows @OfficeGovEthics', 'display_text_range': [0, 253], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'POTUS', 'name': 'President Trump', 'id': 822215679726100480, 'id_str': '822215679726100480', 'indices': [214, 220]}, {'screen_name': 'RepMarkMeadows', 'name': 'Mark Meadows', 'id': 963480595, 'id_str': '963480595', 'indices': [221, 236]}, {'screen_name': 'OfficeGovEthics', 'name': 'U.S. OGE', 'id': 1357975226, 'id_str': '1357975226', 'indices': [237, 253]}], 'symbols': []}}",,,
